,GPA,Class Size
Summer 2017,3.21,28
,3.25,16
,3.05,44
,3.61,35
Spring 2017,2.83,71
,2.91,75
,3.08,73
,3.11,73
,3.16,75
,3.14,50
Fall 2016,2.80,52
,3.07,74
,2.64,74
,2.76,60
,2.84,38
,2.68,62
,3.08,73
Summer 2016,3.21,34
,3.04,24
,3.38,13
,2.80,17
,3.09,57
Spring 2016,3.01,70
,3.00,70
,3.16,69
,3.32,70
,3.20,69
,3.38,47
Fall 2015,3.11,70
,3.34,70
,2.27,68
,3.33,47
,2.86,69
,3.02,69
Summer 2015,2.88,72
,3.03,35
,3.31,32
,3.31,35
Spring 2015,2.85,69
,2.92,69
,2.85,70
,2.95,69
,3.00,70
,3.56,50
Fall 2014,2.75,59
,2.80,60
,2.80,58
,2.85,60
,3.58,52
,2.42,58
Summer 2014,2.92,57
,3.56,36
,3.53,36
Spring 2014,2.80,51
,2.94,52
,2.45,64
,2.74,64
,3.30,43
Fall 2013,2.79,246
,3.32,53
Summer 2013,2.24,160
,3.34,53
Spring 2013,3.03,255
,3.30,37
Fall 2012,2.47,261
,3.14,35
Summer 2012,3.26,102
,3.20,41
Spring 2012,3.24,280
,3.22,23
Fall 2011,2.95,266
,3.17,24
Summer 2011,3.45,92
,3.16,49
Spring 2011,2.97,256
,3.08,25